Project_ID,Project_Name,House_Number,Street_Name,Borough,Community_Board,Council_District,Latitude_(Internal),Longitude_(Internal),Extended_Affordability_Status,Prevailing_Wage_Status,Extremely_Low_Income_Units,Very_Low_Income,All_Counted_Units,Total_Units
58512,Marien-Heim Tower Senior Apartments (20140280),870,OCEAN PARKWAY,Brooklyn,312,44,40.62715465,-73.97169143,Not Extended Affordability,Non Prevailing Wage,0,0,182,182
51297,774 Grand Street,774,GRAND STREET,Brooklyn,301,34,40.71158651,-73.9418611,Not Extended Affordability,Non Prevailing Wage,0,0,13,64
52075,Phipps Plaza South/KB 25,325,EAST 25 STREET,Manhattan,106,2,,,Not Extended Affordability,Non Prevailing Wage,0,0,22,56
53558,Phipps Plaza South/KB25 Article XI,325,EAST 25 STREET,Manhattan,106,2,,,Extended Affordability,Non Prevailing Wage,0,0,34,56
54559,CONFIDENTIAL,----,----,Brooklyn,316,37,,,Not Extended Affordability,Non Prevailing Wage,0,0,3,3
58193,CONFIDENTIAL,----,----,Brooklyn,317,45,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
58289,CONFIDENTIAL,----,----,Queens,412,27,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
54556,CONFIDENTIAL,----,----,Brooklyn,309,40,,,Not Extended Affordability,Non Prevailing Wage,2,0,2,2
54410,CONFIDENTIAL,----,----,Brooklyn,303,41,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
54409,CONFIDENTIAL,----,----,Queens,412,28,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
53694,CONFIDENTIAL,----,----,Queens,408,23,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
54403,CONFIDENTIAL,----,----,Queens,406,29,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
54408,CONFIDENTIAL,----,----,Staten Island,502,50,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
56159,CONFIDENTIAL,----,----,Queens,414,31,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
50356,Gabriel House LP,2044,ADAM C POWELL BOULEVARD,Manhattan,110,9,40.8073023,-73.95000624,Extended Affordability,Non Prevailing Wage,29,1,30,30
54397,CONFIDENTIAL,----,----,Staten Island,501,49,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
54553,CONFIDENTIAL,----,----,Staten Island,503,51,,,Not Extended Affordability,Non Prevailing Wage,1,0,1,1
58507,Stuypark Apartments (20140270),77,NEW YORK AVENUE,Brooklyn,308,36,40.67707888,-73.94671496,Not Extended Affordability,Non Prevailing Wage,0,0,103,103
54392,CONFIDENTIAL,----,----,Queens,412,27,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
54395,CONFIDENTIAL,----,----,Staten Island,503,51,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
54536,CONFIDENTIAL,----,----,Brooklyn,303,41,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
58191,CONFIDENTIAL,----,----,Brooklyn,312,44,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
50372,San Miguel Residence aka Ryer Associates,2386,RYER AVENUE,Bronx,205,15,40.85957104,-73.89772866,Extended Affordability,Non Prevailing Wage,0,0,70,70
53467,CONFIDENTIAL,----,----,Queens,412,27,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
58189,CONFIDENTIAL,----,----,Queens,412,27,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
54537,CONFIDENTIAL,----,----,Staten Island,502,50,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
53529,CONFIDENTIAL,----,----,Queens,413,27,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
53542,CONFIDENTIAL,----,----,Bronx,204,8,,,Not Extended Affordability,Non Prevailing Wage,0,0,2,2
53614,CONFIDENTIAL,----,----,Staten Island,503,51,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
53664,CONFIDENTIAL,----,----,Brooklyn,318,46,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
50405,CROTONA PARK NORTH,756,EAST 175 STREET,Bronx,206,17,40.84168395,-73.89187957,Extended Affordability,Non Prevailing Wage,0,0,36,36
50405,CROTONA PARK NORTH,1791,PROSPECT AVENUE,Bronx,206,17,40.8415304,-73.89203884,Extended Affordability,Non Prevailing Wage,0,0,31,31
50417,Gateway 1,45,LENOX AVENUE,Manhattan,110,9,40.79988131,-73.95176356,Extended Affordability,Non Prevailing Wage,38,15,59,59
50418,Audubon,2321,ADAM C POWELL BOULEVARD,Manhattan,110,9,40.81612586,-73.94256458,Extended Affordability,Non Prevailing Wage,67,15,88,88
52241,606 West 57th Street,622,WEST 57 STREET,Manhattan,104,6,40.77061861,-73.99303578,Not Extended Affordability,Non Prevailing Wage,0,0,206,1028
53615,CONFIDENTIAL,----,----,Queens,403,21,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
58188,CONFIDENTIAL,----,----,Brooklyn,317,41,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
58227,CONFIDENTIAL,----,----,Staten Island,501,49,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
58491,Locust Manor Family II (20136069),126-02,LOCUST MANOR LANE,Queens,412,27,40.68009348,-73.77215443,Not Extended Affordability,Non Prevailing Wage,8,3,54,54
50419,Site A/Washington Heights,2036,AMSTERDAM AVENUE,Manhattan,112,7,40.83529962,-73.94092905,Extended Affordability,Non Prevailing Wage,88,15,110,110
50421,MSHouses,123,EAST 129 STREET,Manhattan,111,9,40.80747099,-73.93591101,Extended Affordability,Non Prevailing Wage,97,26,131,131
58180,CONFIDENTIAL,----,----,Bronx,209,18,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
55413,334 Beach 54th Street,334,BEACH 54 STREET,Queens,414,31,,,Not Extended Affordability,Non Prevailing Wage,0,0,32,32
58179,CONFIDENTIAL,----,----,Queens,414,31,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
53414,CONFIDENTIAL,----,----,Queens,413,27,,,Not Extended Affordability,Non Prevailing Wage,0,2,2,2
53663,CONFIDENTIAL,----,----,Brooklyn,308,36,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
53616,CONFIDENTIAL,----,----,Bronx,212,12,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
53661,CONFIDENTIAL,----,----,Brooklyn,308,36,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
53611,CONFIDENTIAL,----,----,Bronx,211,13,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
58200,CONFIDENTIAL,----,----,Brooklyn,304,34,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
53251,CONFIDENTIAL,----,----,Bronx,212,12,,,Not Extended Affordability,Non Prevailing Wage,0,0,2,2
53609,CONFIDENTIAL,----,----,Queens,413,23,,,Not Extended Affordability,Non Prevailing Wage,0,1,1,1
53618,CONFIDENTIAL,----,----,Bronx,210,13,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
53624,CONFIDENTIAL,----,----,Queens,403,22,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
53666,CONFIDENTIAL,----,----,Queens,406,29,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
58506,625 West 57th Street Apartments (20140275),625,WEST 57 STREET,Manhattan,104,6,40.77143105,-73.9929671,Not Extended Affordability,Non Prevailing Wage,0,142,143,709
53612,CONFIDENTIAL,----,----,Brooklyn,305,42,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
53212,CONFIDENTIAL,----,----,Brooklyn,303,36,,,Not Extended Affordability,Non Prevailing Wage,0,0,2,2
58198,CONFIDENTIAL,----,----,Queens,412,27,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
51585,217-221 W. 29th Street,221,WEST 29 STREET,Manhattan,105,3,40.74843838,-73.99371299,Not Extended Affordability,Non Prevailing Wage,0,0,19,95
53623,CONFIDENTIAL,----,----,Staten Island,503,51,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
53665,CONFIDENTIAL,----,----,Staten Island,501,49,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
53211,CONFIDENTIAL,----,----,Brooklyn,318,45,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
50104,Crotona Terrace I aka 1825 Boston Road,1825,BOSTON ROAD,Bronx,203,17,40.83913354,-73.88559536,Not Extended Affordability,Non Prevailing Wage,0,0,80,80
58197,CONFIDENTIAL,----,----,Brooklyn,318,46,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
53572,CONFIDENTIAL,----,----,Queens,402,26,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
53588,CONFIDENTIAL,----,----,Brooklyn,307,38,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
53590,CONFIDENTIAL,----,----,Queens,412,27,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
58196,CONFIDENTIAL,----,----,Brooklyn,305,42,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
53064,CONFIDENTIAL,----,----,Queens,410,28,,,Not Extended Affordability,Non Prevailing Wage,0,0,2,2
53579,CONFIDENTIAL,----,----,Brooklyn,303,41,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
58195,CONFIDENTIAL,----,----,Queens,413,31,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
58194,CONFIDENTIAL,----,----,Brooklyn,302,35,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
53194,CONFIDENTIAL,----,----,Bronx,209,18,,,Not Extended Affordability,Non Prevailing Wage,0,0,2,2
55511,Arverne/Nordak,353,BEACH 57 STREET,Queens,414,31,40.59363527,-73.78799015,Not Extended Affordability,Non Prevailing Wage,0,0,343,343
48638,LANTERN. 330-332 WEST 51ST ST. STARDOM HALL,330,WEST 51 STREET,Manhattan,104,3,40.76330063,-73.987138,Not Extended Affordability,Non Prevailing Wage,39,0,53,53
48638,LANTERN. 330-332 WEST 51ST ST. STARDOM HALL,332,WEST 51 STREET,Manhattan,104,3,40.76333906,-73.98722824,Not Extended Affordability,Non Prevailing Wage,0,0,56,56
53569,CONFIDENTIAL,----,----,Brooklyn,317,45,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
58192,CONFIDENTIAL,----,----,Bronx,209,18,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
53578,CONFIDENTIAL,----,----,Staten Island,503,51,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
58177,CONFIDENTIAL,----,----,Brooklyn,309,40,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
50187,11 Jackson Street,11,JACKSON STREET,Brooklyn,301,33,40.71627347,-73.9513443,Not Extended Affordability,Non Prevailing Wage,0,0,10,44
53604,CONFIDENTIAL,----,----,Brooklyn,303,41,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
53586,CONFIDENTIAL,----,----,Queens,409,29,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
53587,CONFIDENTIAL,----,----,Staten Island,503,51,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
53602,CONFIDENTIAL,----,----,Brooklyn,303,41,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
58199,CONFIDENTIAL,----,----,Staten Island,502,,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
58218,CONFIDENTIAL,----,----,Staten Island,502,50,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
58247,CONFIDENTIAL,----,----,Staten Island,501,49,,,Not Extended Affordability,Non Prevailing Wage,0,0,1,1
50404,Vannguard,219,BAINBRIDGE STREET,Brooklyn,303,36,40.68150448,-73.92837409,Extended Affordability,Non Prevailing Wage,0,0,8,8
50404,Vannguard,905A,GATES AVENUE,Brooklyn,303,36,40.68884477,-73.92963186,Extended Affordability,Non Prevailing Wage,0,0,4,4
50404,Vannguard,914,GATES AVENUE,Brooklyn,303,36,40.68866505,-73.92751902,Extended Affordability,Non Prevailing Wage,0,0,11,11
50404,Vannguard,462,HANCOCK STREET,Brooklyn,303,36,40.68383147,-73.93676177,Extended Affordability,Non Prevailing Wage,0,0,6,6
50404,Vannguard,625,MACON STREET,Brooklyn,303,41,40.68401726,-73.9261215,Extended Affordability,Non Prevailing Wage,0,0,8,8
50404,Vannguard,508,MAC DONOUGH STREET,Brooklyn,303,41,40.68285608,-73.92589924,Extended Affordability,Non Prevailing Wage,0,0,3,3
50404,Vannguard,179,MALCOLM X BOULEVARD,Brooklyn,303,36,40.68700851,-73.92960495,Extended Affordability,Non Prevailing Wage,0,0,4,4
50404,Vannguard,187,MALCOLM X BOULEVARD,Brooklyn,303,36,40.6867889,-73.9295583,Extended Affordability,Non Prevailing Wage,0,0,4,4
50404,Vannguard,214,MALCOLM X BOULEVARD,Brooklyn,303,36,40.68594101,-73.92996664,Extended Affordability,Non Prevailing Wage,0,0,3,3
